      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	  VOL.VOLUME	  VOL.MAVOL1	  VOL.MAVOL2	  DMI.PDI   	  DMI.MDI   	  DMI.ADX   	  DMI.ADXR  	 
 2013/09/16	    8.70	    8.70	    8.46	    8.50	       33077842	           	           	           	           	  330778.41	           	           	           	           	           	           	
 2013/09/17	    8.53	    8.56	    8.34	    8.35	       25865574	           	           	           	           	  258655.73	           	           	           	           	           	           	
 2013/09/18	    8.36	    8.50	    8.35	    8.47	       17362624	           	           	           	           	  173626.23	           	           	           	           	           	           	
 2013/09/23	    8.53	    8.80	    8.49	    8.73	       35171316	           	           	           	           	  351713.16	           	           	           	           	           	           	
 2013/09/24	    8.75	    8.94	    8.70	    8.73	       37642880	       8.56	           	           	           	  376428.81	  298240.47	           	           	           	           	           	
 2013/09/25	    8.70	    9.07	    8.61	    8.98	       67826096	       8.65	           	           	           	  678260.94	  367736.97	           	           	           	           	           	
 2013/09/26	    9.01	    9.06	    8.76	    8.76	       46923256	       8.73	           	           	           	  469232.56	  409852.31	           	           	           	           	           	
 2013/09/27	    8.70	    8.80	    8.54	    8.56	       28034804	       8.75	           	           	           	  280348.03	  431196.72	           	           	           	           	           	
 2013/09/30	    8.69	    9.42	    8.63	    9.30	      106439448	       8.87	           	           	           	 1064394.50	  573733.00	           	           	           	           	           	
 2013/10/08	    9.28	    9.63	    9.17	    9.51	      106427304	       9.02	       8.79	           	           	 1064273.00	  711301.81	  504771.16	           	           	           	           	
 2013/10/09	    9.41	    9.48	    9.25	    9.32	       58945416	       9.09	       8.87	           	           	  589454.19	  693540.44	  530638.69	           	           	           	           	
 2013/10/10	    9.30	    9.75	    9.27	    9.40	       76318304	       9.22	       8.98	           	           	  763183.06	  752330.56	  581091.44	           	           	           	           	
 2013/10/11	    9.49	    9.69	    9.34	    9.58	       66489040	       9.42	       9.09	           	           	  664890.38	  829239.00	  630217.88	           	           	           	           	
 2013/10/14	    9.59	    9.63	    9.28	    9.33	       55965632	       9.43	       9.15	           	           	  559656.31	  728291.38	  651012.19	      33.67	       8.06	           	           	
 2013/10/15	    9.36	    9.76	    9.23	    9.71	       69003440	       9.47	       9.24	           	           	  690034.38	  653443.63	  682372.69	      31.96	       6.56	           	           	
 2013/10/16	    9.65	    9.73	    9.08	    9.22	       62318152	       9.45	       9.27	           	           	  623181.50	  660189.13	  676864.75	      25.27	      10.01	           	           	
 2013/10/17	    9.32	    9.38	    9.07	    9.10	       36975688	       9.39	       9.30	           	           	  369756.88	  581503.88	  666917.25	      22.66	       9.31	           	           	
 2013/10/18	    9.12	    9.34	    9.03	    9.29	       26389648	       9.33	       9.38	           	           	  263896.47	  501305.19	  665272.13	      20.25	       9.70	           	           	
 2013/10/21	    9.30	    9.85	    9.30	    9.66	       68158560	       9.40	       9.41	           	           	  681585.63	  525690.88	  626991.13	      33.11	       7.93	      51.48	           	
 2013/10/22	    9.64	    9.83	    9.35	    9.40	       58614628	       9.33	       9.40	       9.09	           	  586146.25	  504913.31	  579178.44	      28.07	       6.73	      54.30	           	
 2013/10/23	    9.45	    9.56	    9.04	    9.10	       42300120	       9.31	       9.38	       9.13	           	  423001.19	  464877.41	  562533.25	      23.58	      15.18	      44.97	           	
 2013/10/24	    9.20	    9.23	    9.08	    9.12	       20034684	       9.31	       9.35	       9.16	           	  200346.84	  430995.19	  506249.56	      22.39	      14.42	      38.31	           	
 2013/10/25	    9.10	    9.21	    8.65	    8.73	       40556160	       9.20	       9.27	       9.18	           	  405561.59	  459328.19	  480316.69	      18.39	      25.57	      32.03	           	
 2013/10/28	    8.75	    8.81	    8.66	    8.73	       18231448	       9.02	       9.21	       9.18	           	  182314.48	  359474.19	  442582.56	      17.42	      24.23	      27.55	      41.44	
 2013/10/29	    8.76	    8.81	    7.92	    8.38	       40448816	       8.81	       9.07	       9.16	           	  404488.16	  323142.59	  414027.94	      12.83	      39.78	      34.32	      39.40	
 2013/10/30	    8.35	    8.49	    8.25	    8.44	       22299368	       8.68	       8.99	       9.13	           	  222993.69	  283140.81	  374009.09	      11.85	      36.76	      39.15	      39.33	
 2013/10/31	    8.61	    8.86	    8.55	    8.61	       39881668	       8.58	       8.95	       9.12	           	  398816.69	  322835.00	  376915.09	      21.98	      31.87	      33.21	      37.58	
 2013/11/01	    8.60	    8.75	    8.50	    8.61	       17603338	       8.55	       8.88	       9.13	           	  176033.38	  276929.19	  368128.69	      20.14	      30.88	      29.74	      35.34	
 2013/11/04	    8.65	    8.89	    8.65	    8.75	       19740772	       8.56	       8.79	       9.10	           	  197407.72	  279947.81	  319711.00	      23.06	      27.87	      23.94	      32.08	
 2013/11/05	    8.68	    8.84	    8.54	    8.82	       16240401	       8.65	       8.73	       9.07	           	  162404.02	  231531.00	  277336.81	      20.57	      28.82	      21.87	      29.17	
 2013/11/06	    8.78	    8.98	    8.70	    8.75	       23927546	       8.71	       8.69	       9.04	           	  239275.45	  234787.59	  258964.20	      23.63	      25.82	      16.89	      25.66	
 2013/11/07	    8.69	    8.72	    8.48	    8.51	       18566612	       8.69	       8.63	       8.99	           	  185666.13	  192157.41	  257496.20	      21.18	      31.59	      17.70	      23.38	
 2013/11/08	    8.60	    8.73	    8.51	    8.55	       17818424	       8.68	       8.61	       8.94	           	  178184.23	  192587.59	  234758.41	      19.71	      28.79	      17.99	      21.84	
 2013/11/11	    8.48	    8.56	    8.32	    8.42	       12589372	       8.61	       8.58	       8.89	           	  125893.72	  178284.80	  229116.30	      17.73	      33.85	      21.78	      21.82	
 2013/11/12	    8.46	    8.55	    8.39	    8.54	       15797605	       8.55	       8.60	       8.84	           	  157976.05	  177399.20	  204465.09	      16.45	      31.42	      24.49	      22.59	
 2013/11/13	    8.62	    8.75	    8.48	    8.49	       22554610	       8.50	       8.61	       8.80	           	  225546.09	  174653.20	  204720.41	      23.52	      27.57	      19.76	      21.78	
 2013/11/14	    8.50	    8.98	    8.50	    8.94	       42101136	       8.59	       8.64	       8.79	           	  421011.38	  221722.20	  206939.80	      28.30	      21.94	      17.73	      20.62	
 2013/11/15	    8.97	    9.27	    8.90	    9.07	       45463324	       8.69	       8.68	       8.78	           	  454633.25	  277012.00	  234799.80	      35.87	      18.62	      21.71	      20.93	
 2013/11/18	    9.25	    9.35	    9.13	    9.26	       49239408	       8.86	       8.74	       8.76	           	  492394.09	  350312.19	  264298.50	      35.02	      16.45	      25.81	      22.32	
 2013/11/19	    9.26	    9.27	    9.07	    9.14	       28216804	       8.98	       8.77	       8.75	           	  282168.03	  375150.59	  276274.91	      31.95	      17.64	      26.68	      23.57	
 2013/11/20	    9.19	    9.54	    9.16	    9.45	       53139316	       9.17	       8.84	       8.77	           	  531393.19	  436320.00	  305486.59	      37.93	      14.67	      31.69	      25.89	
 2013/11/21	    9.42	    9.57	    9.32	    9.39	       37063332	       9.26	       8.93	       8.78	           	  370633.31	  426244.59	  323983.41	      35.12	      13.09	      35.69	      28.69	
 2013/11/22	    9.42	    9.47	    9.10	    9.15	       33999632	       9.28	       8.99	       8.80	           	  339996.31	  403317.19	  340164.59	      29.65	      20.32	      30.83	      29.30	
 2013/11/25	    9.18	    9.75	    9.14	    9.68	       79710328	       9.36	       9.11	       8.85	           	  797103.25	  464258.59	  407285.41	      33.36	      15.67	      32.33	      30.17	
 2013/11/26	    9.61	    9.79	    9.50	    9.67	       54093072	       9.47	       9.22	       8.91	           	  540930.75	  516011.41	  445581.00	      31.18	      13.92	      34.03	      31.27	
 2013/11/27	    9.61	    9.72	    9.49	    9.63	       52069300	       9.50	       9.34	       8.97	           	  520693.00	  513871.19	  475095.59	      28.30	      13.04	      34.85	      32.29	
 2013/11/28	    9.67	    9.82	    9.49	    9.52	       55200448	       9.53	       9.40	       9.02	           	  552004.50	  550145.19	  488194.91	      28.56	      11.30	      37.27	      33.71	
 2013/11/29	    9.52	    9.60	    9.46	    9.54	       29627512	       9.61	       9.44	       9.06	           	  296275.13	  541401.19	  472359.19	      26.82	      11.92	      37.60	      34.83	
